measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Netherlands,Both,All ages,"Tracheal, bronchus, and lung cancer",Number,1995,9533.42730023942,9959.620642310729,9074.67338932473
Deaths,New Zealand,Both,All ages,Cardiovascular diseases,Number,1995,11509.618277875847,12017.487947582867,10558.422966902372
Deaths,Spain,Both,All ages,Road injuries,Number,1997,6850.520818729512,7043.910481166654,6640.513606134631
Deaths,Spain,Both,All ages,Motor vehicle road injuries,Number,1997,4252.765694409508,4403.129407645033,4103.90136226117
Deaths,Germany,Both,All ages,Alcohol use disorders,Number,1997,6525.593374432517,6763.986609642802,6306.056568449075
Deaths,Germany,Both,All ages,Opioid use disorders,Number,1997,1225.861648574433,1326.7590645887972,1132.0305197602784
Deaths,Germany,Both,All ages,Diabetes mellitus,Number,1997,22268.357444894915,23955.571291283744,19965.297215614868
Deaths,Germany,Both,All ages,Self-harm,Number,1997,13937.37095466906,14333.031068440778,13513.54060852638
Deaths,Norway,Both,All ages,Alcohol use disorders,Number,1995,308.98360387130043,318.4641727352015,299.2335446420206
Deaths,Norway,Both,All ages,Opioid use disorders,Number,1995,164.29724325229176,174.96847243223522,155.12901921959516
Deaths,Norway,Both,All ages,Diabetes mellitus,Number,1995,563.6818709356277,591.4642229889395,510.2006356902416
Deaths,Ireland,Both,All ages,Self-harm,Number,1995,476.1634716123293,492.7011288163235,458.84664439997994
Deaths,Estonia,Both,All ages,Cardiovascular diseases,Number,1997,10248.306735889557,10602.383765951361,9696.866385805579
Deaths,Latvia,Both,All ages,Liver cancer due to alcohol use,Number,1995,40.34742524392,51.65977762298398,30.16728916218806
Deaths,Latvia,Both,All ages,"Tracheal, bronchus, and lung cancer",Number,1995,1316.6007276467722,1415.2758446109235,1229.2870438966577
Deaths,Germany,Both,All ages,Police conflict and executions,Number,1997,4.316304849503513,6.049252448656127,3.1472971535599554
Deaths,Norway,Both,All ages,Police conflict and executions,Number,1995,0.003491180413986462,0.004416716754045862,0.002974959006549561
